machine_id,loc_name,latitude,longitude,capacity,area_id,product_id,product_name,price,purchase_id,purchase_date,product_id,machine_id,pos_price,customer_id,area_name
9,"Mission Dolores Park",37.7598833,-122.4290462,12,2,6,Sunscreen,5.0,1,1470351705,6,9,5.0,2,"Castro SF"
8,"Rikki Streicher Field",37.760559,-122.4358999,12,2,8,"Dog Treats",3.0,2,1470351705,8,8,3.0,5,"Castro SF"
11,"The Paramount Theatre",37.809174,-122.2830905,12,3,1,Coke,1.5,3,1470351705,1,11,1.5,6,Oakland
8,"Rikki Streicher Field",37.760559,-122.4358999,12,2,8,"Dog Treats",3.0,4,1470438105,8,8,3.0,2,"Castro SF"
5,"The Ferry Building",37.7943947,-122.3981726,12,1,2,T-Shirt,10.0,5,1470438105,2,5,10.0,4,"Downtown SF"
6,"Davies Campus",37.7675721,-122.4352396,12,2,5,Water,1.0,6,1470438105,5,6,1.0,5,"Castro SF"
11,"The Paramount Theatre",37.809174,-122.2830905,12,3,1,Coke,1.5,7,1470438105,1,11,1.5,6,Oakland
13,"Highland Hospital",37.8024413,-122.2586135,12,3,3,Peanuts,1.5,8,1470438105,3,13,1.5,9,Oakland
7,"Market St & Noe Station",37.7643001,-122.4327049,12,2,4,"Battery Chargers",15.0,9,1470524505,4,7,15.0,2,"Castro SF"
14,"Marriot City Center",37.8025865,-122.2735734,12,3,9,Beer,4.5,10,1470524505,9,14,4.5,3,Oakland
9,"Mission Dolores Park",37.7598833,-122.4290462,12,2,6,Sunscreen,5.0,11,1470524505,6,9,5.0,5,"Castro SF"
15,"Oakland Ice Center",37.8059857,-122.273792,12,3,3,Peanuts,1.5,12,1470524505,3,15,1.5,6,Oakland
15,"Oakland Ice Center",37.8059857,-122.273792,12,3,3,Peanuts,1.5,13,1470524505,3,15,1.5,9,Oakland
9,"Mission Dolores Park",37.7598833,-122.4290462,12,2,8,"Dog Treats",3.0,14,1470610905,8,9,3.0,2,"Castro SF"
12,"Children's Fairyland",37.8077802,-122.2749439,12,3,9,Beer,4.5,15,1470610905,9,12,4.5,3,Oakland
14,"Marriot City Center",37.8025865,-122.2735734,12,3,1,Coke,1.5,16,1470610905,1,14,1.5,6,Oakland
13,"Highland Hospital",37.8024413,-122.2586135,12,3,3,Peanuts,1.5,17,1470610905,3,13,1.5,9,Oakland
6,"Davies Campus",37.7675721,-122.4352396,12,2,4,"Battery Chargers",15.0,18,1470697305,4,6,15.0,2,"Castro SF"
1,"Yerba Buena Center for the Arts",37.7866026,-122.403335,12,1,2,T-Shirt,10.0,19,1470697305,2,1,10.0,4,"Downtown SF"
3,"Pier 39",37.8023627,-122.4094553,12,1,10,"Reading Glasses",11.0,20,1470697305,10,3,11.0,7,"Downtown SF"
15,"Oakland Ice Center",37.8059857,-122.273792,12,3,3,Peanuts,1.5,21,1470697305,3,15,1.5,9,Oakland
4,"Transamerica Pyramid Hall",37.7943947,-122.3981726,12,1,7,"Guide of SF",4.0,22,1470783705,7,4,4.0,1,"Downtown SF"
10,"The Castro Theatre",37.7609988,-122.4361816,12,2,6,Sunscreen,5.0,23,1470783705,6,10,5.0,2,"Castro SF"
14,"Marriot City Center",37.8025865,-122.2735734,12,3,1,Coke,1.5,24,1470783705,1,14,1.5,3,Oakland
14,"Marriot City Center",37.8025865,-122.2735734,12,3,1,Coke,1.5,25,1470783705,1,14,1.5,6,Oakland
13,"Highland Hospital",37.8024413,-122.2586135,12,3,10,"Reading Glasses",11.0,26,1470783705,10,13,11.0,9,Oakland
9,"Mission Dolores Park",37.7598833,-122.4290462,12,2,8,"Dog Treats",3.0,27,1470870105,8,9,3.0,2,"Castro SF"
10,"The Castro Theatre",37.7609988,-122.4361816,12,2,5,Water,1.0,28,1470870105,5,10,1.0,5,"Castro SF"
13,"Highland Hospital",37.8024413,-122.2586135,12,3,3,Peanuts,1.5,29,1470870105,3,13,1.5,9,Oakland
9,"Mission Dolores Park",37.7598833,-122.4290462,12,2,6,Sunscreen,5.0,30,1470956505,6,9,5.0,2,"Castro SF"
